Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.00    0.00 9051588/12553382     fpr_sub [90]
                0.00    0.00 5549794/5549794     fpr_sqr [92]
                0.00    0.00 2048000/2048000     fpr_floor [99]
                0.00    0.00 2048000/2048000     fpr_half [100]
-----------------------------------------------
                0.00    0.00       1/2554        solve_NTRU_binary_depth0 [61]
                0.00    0.00       2/2554        PQCLEAN_FALCON1024_CLEAN_keygen [19]
                0.00    0.00       3/2554        solve_NTRU_binary_depth1 [63]
                0.00    0.10     548/2554        solve_NTRU_intermediate [21]
                0.00    0.35    2000/2554        do_sign_dyn.constprop.0 [6]
[14]     6.6    0.00    0.45    2554         PQCLEAN_FALCON1024_CLEAN_iFFT [14]
                0.28    0.03 27751050/329896815     PQCLEAN_FALCON1024_CLEAN_fpr_add [8]
                0.10    0.00 20559778/293265995     PQCLEAN_FALCON1024_CLEAN_fpr_mul [10]
                0.03    0.00 48310828/653233071     FPR [16]
                0.00    0.00 13875525/157590811     fpr_sub [36]
                0.00    0.00 1026985/30725031     fpr_neg [44]
-----------------------------------------------
                0.00    0.00    1000/2046000     do_sign_dyn.constprop.0 [6]
                0.01    0.43 2045000/2046000     ffSampling_fft_dyntree.constprop.0 [7]
[15]     6.5    0.01    0.44 2046000         PQCLEAN_FALCON1024_CLEAN_poly_merge_fft [15]
                0.28    0.03 27648000/329896815     PQCLEAN_FALCON1024_CLEAN_fpr_add [8]
                0.09    0.00 18432000/293265995     PQCLEAN_FALCON1024_CLEAN_fpr_mul [10]
                0.03    0.00 46080000/653233071     FPR [16]
                0.00    0.00 13824000/157590811     fpr_sub [36]
-----------------------------------------------
                0.00    0.00     512/653233071     solve_NTRU_binary_depth1 [63]
                0.00    0.00    1536/653233071     PQCLEAN_FALCON1024_CLEAN_poly_div_autoadj_fft [82]
                0.00    0.00    2048/653233071     poly_small_to_fp [87]
                0.00    0.00    2048/653233071     solve_NTRU_binary_depth0 [61]
                0.00    0.00    3584/653233071     PQCLEAN_FALCON1024_CLEAN_poly_add_muladj_fft [83]
                0.00    0.00    4096/653233071     poly_big_to_fp.constprop.0 [84]
                0.00    0.00    4096/653233071     PQCLEAN_FALCON1024_CLEAN_keygen [19]
                0.00    0.00    8184/653233071     PQCLEAN_FALCON1024_CLEAN_poly_invnorm2_fft [74]
                0.00    0.00    8192/653233071     poly_big_to_fp.constprop.1 [79]
                0.00    0.00    9030/653233071     PQCLEAN_FALCON1024_CLEAN_poly_mul_autoadj_fft [81]
                0.00    0.00   10945/653233071     solve_NTRU_intermediate [21]
                0.00    0.00  398656/653233071     poly_big_to_fp [59]
                0.00    0.00 1024000/653233071     do_sign_dyn.constprop.0 [6]
                0.00    0.00 2050048/653233071     PQCLEAN_FALCON1024_CLEAN_poly_mulconst [48]
                0.00    0.00 4096000/653233071     ffSampling_fft_dyntree.constprop.0 [7]
                0.00    0.00 6144000/653233071     PQCLEAN_FALCON1024_CLEAN_poly_muladj_fft [37]
                0.00    0.00 6144000/653233071     PQCLEAN_FALCON1024_CLEAN_poly_mulselfadj_fft [35]
